,word,word_count
1371,daughter,1
1372,aus23,1
1373,astray,1
1374,deaf,1
1375,rich,1
1376,suck,1
1377,march,1
1378,play,1
1379,homemade,1
1380,410k,1
1381,savingsbill,1
1382,exclusion,1
1383,holding,1
1384,tracker,1
1385,61000,1
1386,whoa,1
1387,biweekly,1
1388,compare,1
1389,handing,1
1390,bs45,1
1391,funding,1
1392,shiesty,1
1393,liable,1
1394,paperwork,1
1395,70000,1
1396,barclays,1
1397,posttax,1
1398,convert,1
1399,calmed,1
1400,anxiety,1
1401,added,1
1402,orphan,1
1403,hot,1
1404,tank,1
1405,blew,1
1406,ftw,1
1407,rural,1
1408,earnings,1
1409,annually,1
1410,200,1
1411,decided,1
1412,decrease,1
1413,raising,1
1414,cloned,1
1415,towed,1
1416,aldi,1
1417,field,1
1418,identifying,1
1419,patient,1
1420,song,1
1421,funded,1
1422,300,1
1423,reinvest,1
1424,30day,1
1425,challenge,1
1426,churchill,1
1427,internal,1
1428,review,1
1429,asset,1
1430,holder,1
1431,course,1
1432,nursing,1
1433,action,1
1434,deceased,1
1435,grandmother,1
1436,exit,1
1437,reducing,1
1438,accountability,1
1439,afterbaby,1
1440,efunds,1
1441,discovering,1
1442,straight,1
1443,fridays51719,1
1444,exceeded,1
1445,ease,1
1446,letting,1
1447,austin,1
1448,adviceplease,1
1449,defaulted,1
1450,crap,1
1451,hurting,1
1452,24,1
1453,medicredit,1
1454,amended,1
1455,spender,1
1456,500000,1
1457,cnbcs,1
1458,unwillingincapable,1
1459,uh,1
1460,created,1
1461,performance,1
1462,fipfx,1
1463,reliable,1
1464,98000,1
1465,incorporation,1
1466,cancelled,1
1467,prepaid,1
1468,educator,1
1469,2300,1
1470,download,1
1471,payed,1
1472,fastest,1
1473,impossible,1
1474,navient,1
1475,mae,1
1476,sallie,1
1477,art,1
1478,hobbyist,1
1479,midyear,1
1480,verification,1
1481,m1,1
1482,realization,1
1483,millenial,1
1484,overspending,1
1485,consumer,1
1486,deal,1
1487,member,1
1488,365,1
1489,template,1
1490,terminal,1
1491,renttrack,1
1492,bimonthly,1
1493,appeared,1
1494,lucky,1
1495,gone,1
1496,uncharacteristic,1
1497,illness,1
1498,strong,1
1499,fixing,1
1500,opposed,1
1501,urge,1
1502,approve,1
1503,doable,1
1504,cancellation,1
1505,9999year,1
1506,26m,1
1507,excel,1
1508,typical,1
1509,deadline,1
1510,401kroth,1
1511,default,1
1512,opencreate,1
1513,microwave,1
1514,gtoptions,1
1515,refractory,1
1516,reshuffle,1
1517,600000,1
1518,performing,1
1519,earner,1
1520,act,1
1521,awful,1
1522,touch,1
1523,true,1
1524,uae,1
1525,see,1
1526,escalated,1
1527,andor,1
1528,litecoin,1
1529,ultra,1
1530,thrift,1
1531,applies,1
1532,guiltyillegitimate,1
1533,gfs,1
1534,condotownhouse,1
1535,wherehow,1
1536,daveterminology,1
1537,think,1
1538,qualifying,1
1539,task,1
1540,maintenance,1
1541,24yearold,1
1542,medicaid,1
1543,accepted,1
1544,aunt,1
1545,diet,1
1546,comeback,1
1547,ton,1
1548,string,1
1549,can,1
1550,reduction,1
1551,irrr,1
1552,tin,1
1553,rationale,1
1554,directive,1
1555,pf,1
1556,nonresident,1
1557,landhouse,1
1558,suit,1
1559,planprovider,1
1560,32187,1
1561,distribution,1
1562,objective,1
1563,determining,1
1564,stort,1
1565,grandchild,1
1566,duped,1
1567,purchased,1
1568,believed,1
1569,conflicted,1
1570,guilt,1
1571,gotten,1
1572,operate,1
1573,35000,1
1574,burn,1
1575,accomplish,1
1576,retroactively,1
1577,widow,1
1578,diploma,1
1579,obtain,1
1580,sweetest,1
1581,proud,1
1582,continuing,1
1583,regularly,1
1584,59,1
1585,included,1
1586,jpy,1
1587,insane,1
1588,fleece,1
1589,backdoor,1
1590,ride,1
1591,mega,1
1592,dealing,1
1593,verizon,1
1594,minus,1
1595,advertising,1
1596,36000,1
1597,liquidated,1
1598,supplemental,1
1599,bedroom,1
1600,subleasing,1
1601,preowned,1
1602,signed,1
1603,technically,1
1604,random,1
1605,consistent,1
1606,scheduled,1
1607,nc,1
1608,wilmington,1
1609,october,1
1610,2027,1
1611,discount,1
1612,118,1
1613,copy,1
1614,rather,1
1615,smaller,1
1616,raiseand,1
1617,rgivingstories,1
1618,commuter,1
1619,saw,1
1620,bs7ers,1
1621,456ers,1
1622,22k,1
1623,mampt,1
1624,response,1
1625,theftssn,1
1626,barrier,1
1627,youll,1
1628,thermostat,1
1629,watching,1
1630,tn,1
1631,unexpected,1
1632,visa,1
1633,beyond,1
1634,10k,1
